Key,English,Portuguese,Spanish,French,German,Italian,Russian,Chinese,Japanese,Hindi,Korean,Burmese,Tamil,Thai
,en,pt,es,fr,de,it,ru,zh,ja,hi,ko,my,ta,th
btn-language-name,English,Português,Español,Français,Deutsch,Italiano,Pусский,中文,日本語,हिन्दी,한국인,မြန်မာဘာသာ,தமிழ்,ภาษาไทย
btn-language,Language,Idioma,Idioma,Langue,Sprache,Lingua,Язык,经典模式,言語,भाषा,언어,ဘာသာစကား,மொழி,ภาษา
btn-play,Classic,Clássico,Clásico,Classique,Klassiker,Classico,Классический,经典模式,クラシック,क्लासिक,권위 있는,ဂန္ထဝင်,கிளாசிக்,คลาสสิค
btn-continue,Continue,Continuar,Continuar,Continuer,Weitermachen,Continuare,Продолжать,继续,続く,जारी रखना,계속하다,ဆက်ရန်,தொடரவும்,ดำเนินการต่อ
btn-challenge,Challenge,Desafio,Desafío,Défi,Herausforderung,Sfida,Испытание,挑战,チャレンジ,चुनौती,도전,စိန်ခေါ်မှု,சவால்,ท้าทาย
mode-easy,Easy,Fácil,Fácil,Facile,Einfach,Facile,Легкий,简单,簡単,आसान,쉬운,လွယ်ပါတယ်။,எளிதானது,ง่าย
mode-medium,Moderate,Médio,Moderado,Moyenne,Durchschnitt,Media,Средний,中等,平均,औसत,평균,ပျမ်းမျှ,சராசரி,เฉลี่ย
mode-hard,Hard,Difícil,Duro,Difficile,Schwierig,Difficile,Трудный,困难,難しい,कठिन,어려운,ခက်တယ်။,கடினமானது,ยาก
mode-extreme,Extreme,Extremo,Extremo,Extremo,Extrem,Estremo,Экстрим,极端,過激,चरम,극심한,အလွန်အကျူး,தீவிர,สุดขีด
mode-challenge,Challenge,Desafio,Desafío,Défi,Herausforderung,Sfida,Испытание,挑战,チャレンジ,चुनौती,도전,စိန်ခေါ်မှု,சவால்,ท้าทาย
game-time,Time,Tempo,Tiempo,Temps,Zeit,Tempo,Время,计时,時間,समय,시간,အချိန်,நேரம்,เวลา
game-solved,Solved,Resolvido,Resuelto,Résolu,Gelöst,Risolto,Решено,已解,解決済み,हल किया,해결됨,ဖြေရှင်းရတယ်။,தீர்க்கப்பட்டது,แก้ไขแล้ว
stats-games-played,Games Played,Jogos disputados,Juegos jugados,Jeux joués,Gespielte Spiele,Partite giocate,Сыграно игр,玩过的游戏,プレイしたゲーム,खेल खेले गए,플레이한 게임,ဂိမ်းများ ကစားခဲ့သည်။,விளையாடிய விளையாட்டுகள்,เกมส์ที่เล่น
stats-games-finished,Games Completed,Jogos concluídos,Juegos completados,Jeux terminés,Abgeschlossene Spiele,Giochi completati,Завершенные игры,已完成的游戏,完成したゲーム,पूरा खेल,완료된 게임,ပြီးသွားသောဂိမ်းများ,முடிந்த விளையாட்டுகள்,เกมที่เสร็จสมบูรณ์
stats-average-time,Average Time,Tempo médio,Tiempo promedio,Temps moyen,Durchschnittliche Zeit,Tempo medio,Среднее время,平均解谜时间,平均時間,औसत समय,평균 시간,ပျမ်းမျှအချိန်,சராசரி நேரம்,เวลาเฉลี่ย
stats-fastest-time,Fastest Time,Tempo mais rápido,Tiempo más rápido,Temps le plus rapide,Schnellste Zeit,Tempo più veloce,Самое быстрое время,最快解谜时间,最速タイム,सबसे तेज़ समय,가장 빠른 시간,အမြန်ဆုံးအချိန်,வேகமான நேரம்,เวลาที่เร็วที่สุด
stats-hints-used,Hints Used,Dicas usadas,Consejos utilizados,Conseils utilisés,Verwendete Tipps,Suggerimenti utilizzati,Использованные советы,使用的提示,使用した暗示,युक्तियों का प्रयोग किया गया,사용된 팁,အကြံပြုချက်များကို အသုံးပြုခဲ့သည်။,குறிப்புகள் பயன்படுத்தப்பட்டன,เคล็ดลับที่ใช้
